,features,score
0,security,0.14615142518332336
1,manager,0.0949558867859968
2,cyber,0.0883267986542699
3,architect,0.08393095189070561
4,specialist,0.08363045888815902
5,consultant,0.054200299542602345
6,information,0.052339792759968036
7,product,0.04430999753123401
8,senior,0.04086031349764562
9,researcher,0.040374203969234086
10,officer,0.031327013705677725
11,cybersecurity,0.031074226316213233
12,expert,0.030322566018187273
13,application,0.029510993754238442
14,technology,0.02345754903765341
15,automotive,0.022303777851058797
16,penetration,0.020870364778738312
17,tester,0.020870364778738312
18,administrator,0.020594596338170817
19,data,0.020255652317943358
