,features,score
0,engineer,0.08789708651038933
1,security,0.08138579515898652
2,manager,0.04969207924189347
3,specialist,0.045007508345525256
4,senior,0.039136171472384323
5,product,0.038749325995539964
6,researcher,0.03364815000538872
7,cyber,0.02972528823659637
8,cybersecurity,0.02739774387019976
9,data,0.026658157354669546
10,architect,0.024877461122219332
11,network,0.023932689504464314
12,administrator,0.022808046381606814
13,analyst,0.021921650952944804
14,services,0.021458592411533816
15,consultant,0.021344315556821283
16,sales,0.021001328768925267
17,information,0.02075627879381412
18,cloud,0.019097428467076145
19,linux,0.018039997429617878
