,features,score
0,engineer,0.34679031090779494
1,security,0.14694737800953897
2,application,0.06578870805423141
3,cybersecurity,0.06079132071850637
4,cloud,0.05397952060344616
5,network,0.05393298405960799
6,senior,0.05036039511914118
7,emea,0.044373419989074105
8,cyber,0.042960610677129155
9,support,0.039175345954922856
10,junior,0.03708729522650606
11,software,0.03657635321706048
12,response,0.033940463317066565
13,incident,0.033940463317066565
14,qa,0.031201464446750208
15,linux,0.030428302531155103
16,sr,0.02939699974524364
17,infrastructure,0.02930105202883029
18,data,0.02913731400970463
19,remote,0.028847761221783078
